reason_1,reason_2,reason_3,reason_4,month_value,transportation_expense,age,body_mass_index,education,children,pets,probability,prediction
0,0,0,1,7,289,33,30,0,2,1,0.590824,1
0,0,0,0,7,118,50,31,0,1,0,0.0761294,0
0,0,0,1,7,179,38,31,0,0,0,0.250964,0
1,0,0,0,7,279,39,24,0,2,0,0.872194,1
0,0,0,1,7,289,33,30,0,2,1,0.590824,1
0,0,0,1,7,179,38,31,0,0,0,0.250964,0
0,0,0,1,7,361,28,27,0,1,4,0.483342,0
0,0,0,1,7,260,36,23,0,4,0,0.60506,1
0,0,1,0,7,155,34,25,0,2,0,0.786219,1
0,0,0,1,7,235,37,29,1,1,1,0.305302,0
1,0,0,0,7,260,36,23,0,4,0,0.915891,1
1,0,0,0,7,260,36,23,0,4,0,0.915891,1
1,0,0,0,7,260,36,23,0,4,0,0.915891,1
1,0,0,0,7,179,38,31,0,0,0,0.70427,1
0,0,0,1,7,179,38,31,0,0,0,0.250964,0
1,0,0,0,7,246,41,23,0,0,0,0.705423,1
0,0,0,1,7,179,38,31,0,0,0,0.250964,0
0,0,1,0,7,179,38,31,0,0,0,0.7655,1
1,0,0,0,7,189,33,25,0,2,2,0.700154,1
0,0,0,1,8,248,47,32,0,2,1,0.449361,0
1,0,0,0,8,330,28,25,1,0,0,0.875825,1
1,0,0,0,8,179,38,31,0,0,0,0.713633,1
1,0,0,0,8,361,28,27,0,1,4,0.874343,1
0,0,0,1,8,260,36,23,0,4,0,0.61585,1
0,0,1,0,8,289,33,30,0,2,1,0.936392,1
0,0,0,1,8,361,28,27,0,1,4,0.49468,0
0,0,0,1,8,289,33,30,0,2,1,0.601747,1
0,0,0,1,8,157,29,22,0,0,0,0.167772,0
0,0,1,0,8,289,33,30,0,2,1,0.936392,1
0,0,0,1,8,179,38,31,0,0,0,0.25959,0
0,0,1,0,8,179,38,31,0,0,0,0.773547,1
0,0,1,0,8,235,48,33,0,1,5,0.674399,1
0,0,0,1,8,235,37,29,1,1,1,0.31501,0
0,0,1,0,8,235,48,33,0,1,5,0.674399,1
0,0,0,1,8,179,38,31,0,0,0,0.25959,0
0,0,0,1,8,361,28,27,0,1,4,0.49468,0
0,0,0,1,8,289,33,30,0,2,1,0.601747,1
1,0,0,0,8,291,32,23,0,0,0,0.827718,1
0,0,0,1,8,235,48,33,0,1,5,0.175317,0
0,0,0,1,8,260,36,23,0,4,0,0.61585,1
0,0,0,1,9,184,27,21,0,0,0,0.210484,0
0,0,0,1,9,118,37,28,0,0,0,0.150498,0
0,0,0,1,9,179,38,31,0,0,0,0.268406,0
0,0,1,0,9,235,43,38,0,1,0,0.918797,1
0,0,0,1,9,155,34,25,0,2,0,0.292449,0
0,0,0,1,9,118,37,28,0,0,0,0.150498,0
0,0,0,1,9,179,38,31,0,0,0,0.268406,0
0,0,0,1,9,291,40,25,0,1,1,0.412758,0
0,0,0,1,9,260,36,23,0,4,0,0.626527,1
1,0,0,0,9,291,40,25,0,1,1,0.83322,1
0,0,0,0,9,260,36,23,0,4,0,0.420272,0
0,0,0,0,9,225,28,24,0,1,2,0.14449,0
0,0,0,1,9,225,28,24,0,1,2,0.281005,0
0,0,0,1,9,118,37,28,0,0,0,0.150498,0
0,0,0,0,9,289,33,30,0,2,1,0.405916,0
0,0,0,0,9,118,50,31,0,1,0,0.082763,0
0,0,1,0,9,225,28,24,0,1,2,0.792008,1
0,0,0,1,9,179,38,31,0,0,0,0.268406,0
0,0,0,0,9,369,31,25,0,3,0,0.65147,1
0,0,0,1,9,248,47,32,0,2,1,0.460613,0
0,0,0,1,9,179,38,31,0,0,0,0.268406,0
0,0,0,1,9,260,36,23,0,4,0,0.626527,1
0,0,0,1,10,179,38,31,0,0,0,0.277409,0
0,0,0,1,10,118,37,28,0,0,0,0.156392,0
0,0,0,0,10,118,50,31,0,1,0,0.0862735,0
0,0,0,1,10,179,30,19,1,0,0,0.148753,0
0,0,0,1,10,179,38,31,0,0,0,0.277409,0
0,0,0,1,10,225,28,24,0,1,2,0.290263,0
0,0,0,1,10,118,37,28,0,0,0,0.156392,0
